StudyID,AvgPlanningDepth,MedianPlanningDepth,AvgBranchingFactor,MedianBranchingFactor
Sub102_vs_Level110,10.542070833938364,9.63013698630137,5.7677854797519155,5.0
Sub102_vs_Level118,12.531807186444846,11.990338164251208,7.216891645384896,5.0
Sub102_vs_Level92,8.464560179265474,7.596590909090909,5.662294782925939,5.0
Sub129_vs_Level110,2.648744638654722,2.276923076923077,3.7931959139000364,3.0
Sub129_vs_Level118,1.785314162898032,1.6666666666666667,3.6613644655235316,3.0
Sub129_vs_Level92,3.4733046895868336,2.6619718309859155,4.768569865012769,4.0
Sub149_vs_Level110,5.723874966986477,4.8915094339622645,6.28834367019336,5.0
Sub149_vs_Level118,5.435771642724781,4.822033898305085,4.669463699379788,4.0
Sub149_vs_Level92,5.995969743203642,5.5,5.523002553812478,5.0
Sub156_vs_Level110,1.383002857837772,1.2,2.0669828529733674,2.0
Sub156_vs_Level118,1.5478475009120758,1.5,0.5914812112367749,1.0
Sub156_vs_Level92,4.01706798005594,2.0,0.6528456767603065,1.0
Sub166_vs_Level110,6.948595634503055,5.735294117647059,3.426213060926669,3.0
Sub166_vs_Level118,3.0628080116694,2.638888888888889,3.50964976286027,3.0
Sub166_vs_Level92,3.560670555559846,2.90625,3.302079533017147,3.0
Sub171_vs_Level110,8.773274896320407,7.78494623655914,3.9371579715432325,3.0
Sub171_vs_Level118,2.6639741904702285,2.526315789473684,6.960598321780372,6.0
Sub171_vs_Level92,3.5216927737677644,3.230769230769231,5.083473184968989,5.0
Sub175_vs_Level110,4.785329405606865,4.266272189349112,5.344564027727107,4.0
Sub175_vs_Level118,5.3799222238820725,4.59047619047619,4.512258299890551,4.0
Sub175_vs_Level92,5.219026836802948,4.897548358074674,7.178128420284568,6.0
Sub196_vs_Level110,23.784435852075305,25.02777777777778,2.0811200291864282,2.0
Sub196_vs_Level118,1.4591972403109013,1.35,8.334731849689895,8.0
Sub196_vs_Level92,2.5464885078438524,2.3333333333333335,0.6684604159066034,1.0
Sub199_vs_Level110,2.9818959623254884,2.6065573770491803,5.1844035023713975,4.0
Sub199_vs_Level118,4.631418168496305,3.7454545454545456,3.7198102882159794,3.0
Sub199_vs_Level92,3.371695414273196,2.9220779220779223,5.6091025173294415,5.0
Sub810_vs_Level110,4.41254474734923,3.9285714285714284,6.019609631521343,4.0
Sub810_vs_Level118,3.5683956508087755,3.0273972602739727,4.5037030280919375,4.0
Sub810_vs_Level92,6.068196012349009,5.214765100671141,4.859595038307187,4.0
Sub811_vs_Level110,8.229170012382504,7.124324324324324,4.728620941262313,4.0
Sub811_vs_Level118,19.107349888239376,20.6016,7.577873039036848,6.0
Sub811_vs_Level92,6.121405827129042,5.942857142857143,6.975209777453484,5.0
Sub842_vs_Level110,3.0722085480251087,2.8472222222222223,7.167055819044145,6.0
Sub842_vs_Level118,2.405068416108516,2.25,5.291517694272163,5.0
Sub842_vs_Level92,2.4905362899851253,2.24,4.946844217438891,4.0
Sub849_vs_Level110,4.729753713846654,3.6363636363636362,1.743287121488508,2.0
Sub849_vs_Level118,4.128149436312591,3.413793103448276,5.508172199927034,5.0
Sub849_vs_Level92,4.696099493080661,4.467557251908397,10.774607807369573,10.0
Sub856_vs_Level110,12.414926900880761,12.073226544622425,7.920102152499088,6.0
Sub856_vs_Level118,3.2789910541650977,3.0513698630136985,7.2563115651222185,5.0
Sub856_vs_Level92,5.763520449351126,5.215759849906191,7.107059467347684,5.0
Sub859_vs_Level110,1.8020114313510884,1.6666666666666667,2.3524990879241154,2.0
Sub859_vs_Level118,7.114836434391341,6.666666666666667,0.39870485224370666,0.0
Sub859_vs_Level92,1.4384229012743648,1.4666666666666666,8.141736592484495,8.0
Sub868_vs_Level110,3.0104097821862563,2.4210526315789473,2.926413717621306,3.0
Sub868_vs_Level118,2.9826329867181745,2.0833333333333335,1.8484129879605984,2.0
Sub868_vs_Level92,3.438892858305587,2.4,2.607843852608537,2.0
Sub876_vs_Level110,2.5781244785424664,2.0,2.963060926669099,3.0
Sub876_vs_Level118,3.303402043049982,2.5,0.7782743524261219,1.0
Sub876_vs_Level92,1.6876740408640964,1.5,3.0477562933236046,3.0
Sub877_vs_Level110,4.654464680456482,3.6375,3.8995622035753374,3.0
Sub877_vs_Level118,5.6248423256654085,5.095238095238095,7.162002918642831,5.0
Sub877_vs_Level92,5.111403373287027,4.1017450458444245,5.04146296971908,4.0
Sub884_vs_Level110,8.358701407845153,8.146245059288537,8.071214885078438,7.0
Sub884_vs_Level118,14.480653143903009,14.742888402625821,10.725775264502007,10.0
Sub884_vs_Level92,15.761604149046482,16.107456140350877,8.112112367748997,7.0
Sub891_vs_Level110,3.150605995157391,2.413793103448276,3.1571871579715434,3.0
Sub891_vs_Level118,1.8820685881065304,1.6,1.7768332725282743,2.0
Sub891_vs_Level92,1.5492395931613945,1.48,3.743779642466253,3.0
SubA103_vs_Level110,4.2931931450020855,3.533707865168539,4.951386355344765,3.0
SubA103_vs_Level118,3.6087248860822916,2.8846153846153846,4.567055819044144,4.0
SubA103_vs_Level92,4.774870247075484,3.920863309352518,4.939529368843488,4.0
SubA1099_vs_Level110,8.64780573645063,7.998290598290598,7.551696461145568,5.0
SubA1099_vs_Level118,7.315333489599872,6.313725490196078,6.244636993797884,4.0
