,subject,fold,1,2,3,4,5,6,7,8,9,10
0,Sub102_vs_Level110,1,2.2173,0.0024995,0.082143,0.051283,0.86805,0.13867,1.0418,0.44427,3.5553,5.6531
1,Sub102_vs_Level110,2,3.0733,0.0042752,0.20804,0.05041,1.0954,0.20962,1.1761,0.7805,3.5438,9.4653
2,Sub102_vs_Level110,3,5.1323,0.0022579,0.073216,0.050367,0.66781,0.13451,1.5991,0.83267,5.9161,6.0081
3,Sub102_vs_Level110,4,3.4596,0.0045845,0.14423,0.079979,1.053,0.25861,1.2929,0.66894,3.348,5.4332
4,Sub102_vs_Level110,5,7.2036,0.0035189,0.18787,0.050253,0.76102,0.3735,1.5825,0.98484,6.0972,4.408
5,Sub102_vs_Level118,1,2.1006,0.0010306,0.0018966,0.075022,0.64509,0.11231,1.2615,0.61714,4.4267,7.8556
6,Sub102_vs_Level118,2,6.6355,0.0018435,0.20186,0.080475,0.82958,0.18493,1.3686,0.057659,4.7028,4.362
7,Sub102_vs_Level118,3,7.4569,0.001,0.13135,0.05319,0.68332,0.46729,1.2292,0.72851,5.7377,2.4105
8,Sub102_vs_Level118,4,6.9686,0.0026948,0.3434,0.051988,1.0365,0.26488,1.7342,1.0825,6.4854,9.8468
9,Sub102_vs_Level118,5,3.452,0.0014914,0.11236,0.063324,1.1109,0.1734,0.96518,0.44856,3.5173,9.0633
10,Sub102_vs_Level92,1,1.6045,0.001469,2.4215e-07,0.053339,0.59215,0.25138,1.3971,0.95962,3.7968,9.6784
11,Sub102_vs_Level92,2,2.0312,0.015867,0.0037131,0.061218,0.87253,0.60542,1.2109,0.81747,3.5691,6.0733
12,Sub102_vs_Level92,3,5.3217,0.0036775,0.025118,0.058405,0.5241,0.37549,1.6449,0.65362,4.4555,3.3333
13,Sub102_vs_Level92,4,3.7237,0.0032517,0.032535,0.050323,0.75395,0.19101,1.4488,0.74663,4.4042,6.2956
14,Sub102_vs_Level92,5,3.1708,0.0042563,0.10174,0.088017,0.54466,0.42912,1.6959,0.95639,4.9473,8.9367
15,Sub129_vs_Level110,1,2.0054,0.020949,0.18548,0.05274,1.377,0.59101,1.361,0.90939,4.2068,9.8683
16,Sub129_vs_Level110,2,1.1796,0.033856,0.3209,0.064776,1.2103,0.6345,1.1253,0.65408,3.3308,7.9264
17,Sub129_vs_Level110,3,2.6728,0.0012371,0.14426,0.11145,1.5314,0.22233,0.98579,-0.42508,3.5056,7.736
18,Sub129_vs_Level110,4,1.3609,0.018993,0.21176,0.050036,0.89001,0.55799,1.4824,1.1325,4.3368,10
19,Sub129_vs_Level110,5,1.571,0.0029409,0.20279,0.086359,1.1278,0.55389,0.97412,0.39917,3.5574,9.1061
20,Sub129_vs_Level118,1,1.6129,0.04325,0.26427,0.052064,1.5622,0.93255,1.0214,0.75703,3.7288,9.2047
21,Sub129_vs_Level118,2,1.6524,0.012113,0.17285,0.050064,1.3554,0.84059,1.1978,1.0467,4.475,8.5193
22,Sub129_vs_Level118,3,1.0938,0.0082493,0.14182,0.050122,1.2555,0.74621,1.0404,0.7474,3.5914,7.6609
23,Sub129_vs_Level118,4,1.128,0.019494,0.25789,0.050919,1.2445,0.8493,1.1199,0.84261,3.948,9.8902
24,Sub129_vs_Level118,5,0.49066,0.0010133,0.16845,0.050833,1.097,0.75198,0.963,0.76308,3.8319,9.9851
25,Sub129_vs_Level92,1,2.5148,0.020186,0.10054,0.050496,1.1262,0.53165,1.5965,1.0016,6.6385,9.9775
26,Sub129_vs_Level92,2,3.2989,0.006234,0.20158,0.050326,1.3097,0.014278,1.7948,1.2546,6.1908,9.9988
27,Sub129_vs_Level92,3,1.7152,0.025659,0.1448,0.057032,1.0446,0.35411,1.3995,0.94773,5.532,9.6348
28,Sub129_vs_Level92,4,0.90867,0.015498,0.16595,0.053065,0.92331,0.3383,1.4659,0.90186,5.7121,9.9544
29,Sub129_vs_Level92,5,4.2483,0.0030956,0.23512,0.050015,1.5015,0.46455,1.8666,1.3295,6.753,9.9938
30,Sub149_vs_Level110,1,2.783,0.004585,0.22999,0.071264,1.0645,1.2203,1.1894,0.66018,4.6764,8.883
31,Sub149_vs_Level110,2,5.1542,0.0014503,0.13024,0.054859,0.77379,1.3091,0.72817,0.18972,5.9732,4.9926
32,Sub149_vs_Level110,3,2.2909,0.011758,0.21763,0.050569,0.95005,1.1771,1.2291,1.0506,4.4861,9.8346
33,Sub149_vs_Level110,4,3.5697,0.004323,0.2968,0.077056,1.0216,1.2464,1.0903,0.39896,5.2574,4.9845
34,Sub149_vs_Level110,5,2.4268,0.0015348,0.085599,0.076283,0.94197,0.99813,1.2217,1.1658,5.5322,10
