subject,fold,1,2,3,4,5,6,7,8,9,10,feature drop rate,heuristic quality,planning depth,elo
101:R_31SM3mwQvAhBwar,1,8.8166,0.0010154,0.28833,0.050037,0.46357,1.9621,0.64126,-0.44982,4.8416,2.4233,0.28833,0.39022419425745825,7.10208,125
101:R_31SM3mwQvAhBwar,2,10.581,0.001,0.41846,0.053271,1.1467,2.6762,0.85011,0.51593,8.1567,9.2617,0.41846,0.4594367858047536,7.0168,125
101:R_31SM3mwQvAhBwar,3,0.36357,0.051955,0.34741,0.05,0.52625,1.8931,1.3184,0.62782,7.524,9.9966,0.34741,0.53790482507167,6.46275,125
101:R_31SM3mwQvAhBwar,4,5.8417,0.001,0.10765,0.05704,1.0292,2.3214,0.11932,-0.30639,3.1406,9.944,0.10765,0.31645040369293287,6.21521,125
101:R_31SM3mwQvAhBwar,5,53.046,0.0010004,0.33834,0.050446,0.90895,1.9285,0.77053,0.71295,4.2603,9.0249,0.33834,0.4382052262946597,6.64451,125
102:R_vdABJ1XvXNriwff,1,5.6854,0.0041033,0.21677,0.05,0.50989,0.064392,1.528,0.084534,5.2451,10.0,0.21677,0.627589618675184,4.8944,21
102:R_vdABJ1XvXNriwff,2,1.9989,0.019989,0.19995,0.15811,1.2002,0.80078,1.001,0.40039,3.501,10.0,0.19995,0.48542674298094296,2.43298,21
102:R_vdABJ1XvXNriwff,3,35.063,0.001013,0.3469,0.050283,0.26633,0.17121,1.8757,1.7953,4.1758,7.2161,0.3469,0.5665838715366527,8.73887,21
102:R_vdABJ1XvXNriwff,4,5.405,0.0035059,0.36012,0.05002,0.82023,0.091687,0.7451,0.23241,4.0797,9.9672,0.36012,0.6079320402737427,3.87229,21
102:R_vdABJ1XvXNriwff,5,74.249,0.0010892,0.34348,0.062604,0.70895,0.17776,0.69601,1.6736,5.9515,8.1027,0.34348,0.6459553235804855,6.36689,21
107:R_2ahKzS67s2u094R,1,38.563,0.90192,0.16829,0.063301,1.3144,0.83829,1.3852,-0.90379,8.0266,9.1199,0.16829,0.4585806492757927,0.00105801,267
107:R_2ahKzS67s2u094R,2,0.19989,0.019989,0.19995,0.05,1.2002,0.80078,1.001,0.40039,3.501,10.0,0.19995,0.48542674298094296,3.79028,267
107:R_2ahKzS67s2u094R,3,4.4627,0.95317,0.25549,0.086456,1.3423,0.65651,0.95253,-0.045853,4.9958,9.5352,0.25549,0.47800170590626695,0.00339292,267
107:R_2ahKzS67s2u094R,4,0.73435,0.9821,0.35075,0.050068,1.4858,0.56896,0.9622,-1.0125,3.9458,9.9879,0.35075,0.3870573819332239,0.00941262,267
