subject,fold,1,2,3,4,5,6,7,8,9,10,feature drop rate,heuristic quality,planning depth,elo
101:R_31SM3mwQvAhBwar,1,4.7753,0.0014332,0.22621,0.053241,0.64695,1.7721,0.81098,-0.39954,4.1201,8.332,0.22621,0.4067500643030822,7.10208,256
101:R_31SM3mwQvAhBwar,2,6.766,0.0012072,0.52047,0.051118,0.87568,2.0777,1.037,-0.21845,7.5717,8.6368,0.52047,0.48691829973435086,7.0168,256
101:R_31SM3mwQvAhBwar,3,19.582,0.0010382,0.42257,0.056133,0.41658,1.5897,1.2602,-0.50197,4.9028,7.7673,0.42257,0.4363054699893045,6.46275,256
101:R_31SM3mwQvAhBwar,4,9.777,0.0013254,0.58233,0.050342,1.1994,1.8789,1.8844,-0.61656,5.7089,9.7114,0.58233,0.4244263253957125,6.21521,256
101:R_31SM3mwQvAhBwar,5,3.8732,0.0014313,0.3001,0.050026,0.31213,1.5124,2.0605,0.04932,4.6277,9.9893,0.3001,0.4403615197724598,6.64451,256
102:R_vdABJ1XvXNriwff,1,11.601,0.0019923,0.39407,0.067163,1.2531,0.40515,1.1934,1.6163,5.4191,2.7389,0.39407,0.49626282472840355,4.8944,256
102:R_vdABJ1XvXNriwff,2,0.72986,0.032194,0.19263,0.05,0.70033,-0.23689,1.325,0.73259,4.838,9.2416,0.19263,0.630905748463665,2.43298,256
102:R_vdABJ1XvXNriwff,3,0.53204,0.025637,0.23322,0.055468,0.78432,0.26502,1.3764,1.2888,4.693,9.9883,0.23322,0.6287199484121017,8.73887,256
102:R_vdABJ1XvXNriwff,4,3.0258,0.001,0.00054932,0.050222,0.25002,0.32562,1.131,0.79254,3.877,9.993,0.00054932,0.6208438484271894,3.87229,256
102:R_vdABJ1XvXNriwff,5,0.31656,0.042668,0.2714,0.059406,0.7694,0.2353,1.4513,1.068,4.3397,9.9751,0.2714,0.6204139344314911,6.36689,256
107:R_2ahKzS67s2u094R,1,3890.4,0.99942,0.41919,0.050001,1.171,0.22241,1.0505,-2.2764,4.6843,6.7058,0.41919,0.3432857542932532,0.00105801,84
107:R_2ahKzS67s2u094R,2,1.1036,0.035952,0.38993,0.050002,1.7465,-0.46899,0.94726,-1.0444,4.1886,9.7915,0.38993,0.33647482743631657,3.79028,84
107:R_2ahKzS67s2u094R,3,1.3064,0.9401,0.28238,0.083823,0.98266,0.031765,1.1102,0.38561,4.0805,9.9065,0.28238,0.5598580196030224,0.00339292,84
107:R_2ahKzS67s2u094R,4,0.21337,0.0014524,0.51809,0.073387,1.2559,0.10882,1.1906,-1.044,4.3236,9.1666,0.51809,0.4094923259984141,0.00941262,84
107:R_2ahKzS67s2u094R,5,0.48755,0.035622,0.41617,0.0517,1.2716,-0.36003,1.0986,-1.2265,3.4536,9.7852,0.41617,0.3489625317975945,2.43924,84
117:R_2XpQzVOPaMJjkCo,1,2.1961,0.022843,0.14751,0.055162,1.2613,0.7601,1.0163,-4.3914,3.3679,5.9717,0.14751,0.21317948543179613,2.72747,99
117:R_2XpQzVOPaMJjkCo,2,0.91759,0.16553,0.10345,0.050113,1.1619,0.93628,1.001,-2.4841,3.9807,10.0,0.10345,0.3140696707248757,2.59914,99
117:R_2XpQzVOPaMJjkCo,3,0.77035,0.020781,0.15291,0.071977,1.0249,0.48456,0.98045,-6.9096,4.4944,9.8897,0.15291,0.18323284232138282,4.87012,99
117:R_2XpQzVOPaMJjkCo,4,1.4958,0.017918,0.10949,0.14356,1.3899,0.33456,1.2096,-1.2686,4.2495,9.9047,0.10949,0.37895520246895353,7.19475,99
