subject,fold,1,2,3,4,5,6,7,8,9,10,feature drop rate,heuristic quality,planning depth,elo
101:R_31SM3mwQvAhBwar,1,10000,1,0.34765,0.055229,0.4015,1.9266,1.913,1.6995,9.6057,7.9724,0.34765,0.5893044492584661,0.0,227
101:R_31SM3mwQvAhBwar,2,10000,1,0.34347,0.050892,0.38014,1.8602,2.1494,1.7673,9.9746,7.9933,0.34347,0.5981912355796771,0.0,227
101:R_31SM3mwQvAhBwar,3,10000,1,0.24935,0.050307,0.38337,1.8436,1.6175,1.5921,9.0385,8.4817,0.24935,0.5826387258121537,0.0,227
101:R_31SM3mwQvAhBwar,4,10000,1,0.31256,0.05,0.40116,1.7689,1.9611,1.5742,9.7371,1.8831,0.31256,0.6044810929378952,0.0,227
101:R_31SM3mwQvAhBwar,5,10000,1,0.35911,0.09334,0.56745,1.4517,1.3688,0.60136,6.1583,9.9989,0.35911,0.5568111077076464,0.0,227
102:R_vdABJ1XvXNriwff,1,10000,1,0.24004,0.050019,0.31836,0.57579,1.7766,0.91479,8.6064,9.3869,0.24004,0.6756645501127323,0.0,179
102:R_vdABJ1XvXNriwff,2,10000,1,0.31187,0.052754,0.43756,0.12024,2.756,2.0831,8.884,10.0,0.31187,0.6793596794722251,0.0,179
102:R_vdABJ1XvXNriwff,3,10000,1,0.1314,0.050657,0.43795,0.37317,1.7738,1.6177,8.2183,-6.0835,0.1314,0.7110783185530966,0.0,179
102:R_vdABJ1XvXNriwff,4,10000,1,0.092479,0.058353,0.50057,0.32737,1.5351,1.1982,5.7337,-9.3351,0.092479,0.6894893353465832,0.0,179
102:R_vdABJ1XvXNriwff,5,10000,1,0.22035,0.10744,0.52367,0.086975,1.9174,1.4087,7.2659,10.0,0.22035,0.6935004912689515,0.0,179
107:R_2ahKzS67s2u094R,1,10000,1,0.40329,0.055683,1.4683,0.54716,1.6151,-0.56057,6.2364,9.9998,0.40329,0.43092013051565864,0.0,179
107:R_2ahKzS67s2u094R,2,10000,1,0.19751,0.053245,1.009,0.087913,1.328,-0.063488,6.0156,-3.5146,0.19751,0.5366151805140995,0.0,179
107:R_2ahKzS67s2u094R,3,10000,1,0.49947,0.062892,1.328,0.24685,1.1707,-0.2872,5.3302,8.9619,0.49947,0.4663172026460983,0.0,179
107:R_2ahKzS67s2u094R,4,10000,1,0.40375,0.058809,1.207,0.41359,1.6915,-0.33489,6.8089,5.914,0.40375,0.4842439054954124,0.0,179
107:R_2ahKzS67s2u094R,5,10000,1,0.30353,0.14236,1.538,0.43299,0.97725,-0.51986,4.3885,9.999,0.30353,0.42149109101436266,0.0,179
117:R_2XpQzVOPaMJjkCo,1,10000,1,0.2545,0.053688,0.7661,0.36187,1.2639,0.47597,5.8052,9.9687,0.2545,0.6237043937565232,0.0,109
117:R_2XpQzVOPaMJjkCo,2,10000,1,0.29707,0.060436,0.5882,0.50924,1.9733,0.22561,9.1752,3.4178,0.29707,0.6406955350832635,0.0,109
117:R_2XpQzVOPaMJjkCo,3,10000,1,0.23792,0.05,0.71113,0.50283,1.1881,0.26349,6.1731,10.0,0.23792,0.6208373683666996,0.0,109
117:R_2XpQzVOPaMJjkCo,4,10000,1,0.2529,0.057341,0.96635,0.5595,0.87032,0.10366,8.9928,7.5049,0.2529,0.5520229997161799,0.0,109
117:R_2XpQzVOPaMJjkCo,5,10000,1,0.20407,0.080999,0.69807,0.6316,0.99419,0.12909,6.1841,9.9745,0.20407,0.6078326926010397,0.0,109
121:R_2zoxitKzRuYUblm,1,10000,1,0.35813,0.074329,0.3196,0.53414,2.4545,2.5671,8.3061,9.3419,0.35813,0.6515077545233039,0.0,-9
121:R_2zoxitKzRuYUblm,2,10000,1,0.25626,0.11552,0.28628,0.47805,1.8844,0.87769,9.9839,9.9947,0.25626,0.678737584285837,0.0,-9
121:R_2zoxitKzRuYUblm,3,10000,1,0.25912,0.05,0.48494,0.55915,1.5683,0.65095,5.5729,9.977,0.25912,0.6472923663578483,0.0,-9
121:R_2zoxitKzRuYUblm,4,10000,1,0.36829,0.058586,0.46948,0.40707,1.9251,0.99264,6.3128,3.4556,0.36829,0.6644714170588147,0.0,-9
121:R_2zoxitKzRuYUblm,5,10000,1,0.21263,0.062543,0.33356,0.5929,1.9337,1.2531,7.6173,1.1227,0.21263,0.6660448037140506,0.0,-9
129:R_2q8z9DfvMUHDZio,1,10000,1,0.4078,0.050012,0.59276,0.46064,2.1227,1.6055,8.9524,5.7962,0.4078,0.6849133844914854,0.0,129
129:R_2q8z9DfvMUHDZio,2,10000,1,0.29202,0.059727,0.52357,0.65181,1.5454,1.3461,7.9899,10.0,0.29202,0.6902419342647302,0.0,129
129:R_2q8z9DfvMUHDZio,3,10000,1,0.35047,0.050415,0.47147,0.51361,1.7429,1.5541,7.2874,9.6077,0.35047,0.6951475369343522,0.0,129
129:R_2q8z9DfvMUHDZio,4,10000,1,0.49241,0.050273,0.66123,0.55685,2.2726,1.8693,8.5668,3.0887,0.49241,0.6643716706762629,0.0,129
129:R_2q8z9DfvMUHDZio,5,10000,1,0.36873,0.075347,0.60461,0.6257,1.4014,1.109,5.7517,9.7308,0.36873,0.6595396304017694,0.0,129
